ID,text,source_type,subject,topic,keywords,chapter,title,,冊數,待辦備註
11,臺灣原住民的親族組織類別可分為兩大類：一、氏族社會。部落成員源自一個共同遠祖，但欠缺明確的追溯系譜，是故常以動植物作為氏族象徵的圖騰。二、世系群社會：成員能夠根據系譜追溯到一個共同的祖先。不論是父系抑為母系，都是以遠祖的姓氏作為標誌。<br>在氏族社會下，家族是財產和生活的基本單位，依照「財產繼承權」和「家長權」的掌控程度，而有「父系」或「母系」社會等區別。另也有「貴族社會」，如排灣族與魯凱族，土地均為貴族所有，但在繼承權上則為雙系社會，排灣族由長嗣（不論男女），魯凱族則是以男性繼承人為優先。<br><br>【改寫自：簡後聰，《臺灣史》（臺北：五南，2002），pp.138～140】,teachers_book,原住民,社會,"[親族組織, 氏族社會, 世系群, 父系, 母系]",V.1/Ch.1/臺灣的原住民族,臺灣原住民族的親族組織與家族組織,,,
12,| | |<br>| :--- | :--- |<br>| **功能** | 具有政治、經濟、軍事與教育的功能，是傳承部落文化與部落主體性的重要場域 |<br>| **建築** | 就地取材，展現各族群不同的文化特色 |<br>| **參與者** | 限男性，女性禁止進入 |<br>| **式微** | 1950～60年代，許多部落會所被「活動中心」所取代，但近年在原住民「文化復振」的風潮中，也有不少部落恢復會所，來凝聚部落的宗教精神與情感 |<br>| **舉例** | 魯凱族的男子在8歲時進入少年會所，15歲進入青年會所，並開始接受一系列訓練，如禁食、試膽量、服勞役等，21歲時可結婚生子，脫離會所生活 |<br><br>【改寫自：全國宗教知識網，https://religion.moi.gov.tw/Knowledge/Content?ci=2&cid=526】,teachers_book,原住民,社會,"[會所, 部落文化, 男性, 文化復振, 魯凱族]",V.1/Ch.1/臺灣的原住民族,原住民族的會所制度,,,
13,| 族群<br>類別 | 排灣族 | 魯凱族 |<br>| :--- | :--- | :--- |<br>| **雙系社會** | 由家中出生序位第一的小孩來繼承家庭，因為不分男女而又稱為雙系制度 | 由家中長男繼承家屋、家名，若是家中無男性則由女性招贅繼承 |<br>| **階級制度** | 分為頭目、貴族、巫師與祭司、士族、庶民五個階級，每個階級所能享受的權利不同。頭目與貴族社會地位較高，擁有最多資源。士族階級介於貴族與庶民之間。庶民則藉由個人成就表現，獲得頭目與部落青睞 | 分為傳統領袖、貴族、士族、平民四個階級，每個階級權利義務各不相同。傳統領袖與貴族社會地位最高，擁有最多資源。士族階級介於貴族與平民間，是具有優異功績或者特殊才能的村民。平民在進行各項工作前，都需要支付部分稅收給頭目 |<br>| **婚姻影響社會地位** | 排灣族透過婚姻關係界定社會地位，因此階級會因通婚而改變。例如平民與貴族或頭目通婚後成為近親，也會提升自己的身分地位 | 締結婚姻前首先考慮階級身分，結婚後可因嫁娶或入贅的對象，而讓子女階級產生改變，故以雙方階級相同的「同級婚」最為族人所接受 |<br><br>【改寫自：「排灣族社會制度」，臺灣原住民族文化知識網，https://knowlegde.gov.taipei/News_Content.aspx?n=5C6D65F83BD80BCF&sms=1D81A96ECBE66C8E&s=2BB425D636CE09AB。「魯凱族社會制度」，臺灣原住民族文化知識網，https://knowlegde.gov.taipei/News_Content.aspx?n=5C6D65F83BD80BCF&sms=1D81A96ECBE66C8E&s=402C4B90132A411E】,teachers_book,原住民,社會,"[排灣族, 魯凱族, 雙系社會, 階級制度, 頭目]",V.1/Ch.1/臺灣的原住民族,排灣族與魯凱族的社會結構,,,
14,依據居住地的差異，原住民族各自採取不同的營生方式，例如：達悟族因定居在島嶼，故以漁撈維生；至於分布在高山地區的布農、賽夏族，即以農耕與狩獵為主。而各族各部落之間皆有其特定的獵場，互不侵犯，也絕不捕殺與該族始祖傳說有關的動物；在動物繁衍後代的時節，也不從事打獵。更重要的是，對於漁獲與狩獵的需求僅止於生活無虞，不會肆無忌憚的捕撈，維持與大自然之間的供需平衡。<br><br>【改寫自：陳雨嵐，《臺灣的原住民》（臺北：遠足，2004）、pp.66、168～169】,teachers_book,原住民,經濟,"[維生方式, 達悟族, 漁撈, 狩獵, 供需平衡]",V.1/Ch.1/臺灣的原住民族,原住民族與自然共處的維生方式,,,
15,臺灣原住民住屋研究權威千千岩助太郎，於1934年到1944年在臺進行原住民部落的傳統家屋考察，從他的調查紀錄可知，臺灣原住民傳統住家的特徵包含以下特色：<br>| | |<br>| :--- | :--- |<br>| **就地取材** | 例如：南部魯凱排灣多石板屋，北部泰雅族則多以竹材建屋 |<br>| **順應氣候環境** | 例如：蘭嶼多颱風，達悟族為避風雨，往往下挖住家地基；其他族為防範毒蛇、老鼠，穀倉多採高架式 |<br>| **融入宗教風俗及宇宙觀** | 例如：魯凱族將先人葬在住家下方 |<br><br>【改寫自：陳凱劭，〈臺灣高砂族之住家〉《臺灣學通訊》（家屋），第78期，2013.11】,teachers_book,原住民,文化,"[千千岩助太郎, 住屋, 就地取材, 石板屋, 宇宙觀]",V.1/Ch.1/臺灣的原住民族,原住民的傳統住屋特徵,,,
16,達悟族的半穴居，因應夏季颱風、冬季冷冽東北季風的侵襲，排灣、魯凱和布農族的石板屋，則是因當地河床盛產石板頁岩，就地取材；泰雅、太魯閣、賽夏與鄒族則以木材、竹子為材料搭建家屋。<br><br>【改寫自：鳥居龍藏，《探險臺灣》（臺北：遠流，1996），pp.219～220】,teachers_book,原住民,文化,"[半穴居, 石板屋, 達悟族, 排灣族, 泰雅族]",V.1/Ch.1/臺灣的原住民族,原住民族因地制宜的住屋材料與建築樣式,,,
17,原住民族的衣飾因應不同的自然環境而有所差異，如達悟族男子為適應海上生活與熱帶氣候，穿著丁字褲；泰雅和太魯閣族，身上常有披肩，則是作為山區生活保暖之用；布農族男子常穿梭於山林間，為便於行動，以及避免被草類割傷，短裙與綁腿因而成為其服裝特色。此外，由服飾差異也反映出個人在族群中的階層，例如阿美族未成年男子只能穿著短裙，待成年才能穿著完整服飾。<br><br>【改寫自：陳雨嵐，《臺灣的原住民》（臺北：遠足，2004），pp.132、136～140】,teachers_book,原住民,文化,"[衣飾, 丁字褲, 泰雅族, 布農族, 階層]",V.1/Ch.1/臺灣的原住民族,原住民族衣飾特色,,,
18,| 族別 | 信仰 | 說明 |<br>| :--- | :--- | :--- |<br>| **賽夏族** | 矮靈祭 | 相傳古代矮人傳授農耕與建築技術給賽夏族，某次豐收祭之夜，矮人調戲賽夏族少女，賽夏族人用計害死矮人後，農作年年歉收，賽夏族為平息矮人的憤怒，因此決定每年農曆10月舉行矮靈祭以求平息消災 |<br>| **布農族** | 射耳祭 | 每年國曆4至5月舉行，長老率先射耳，接下來由長老陪著男孩一起拉弓射耳，展現男子的英雄氣概 |<br>| **鄒族** | 戰祭 | 祭拜天神和戰神，在會所及其廣場前舉行，舉行的時機有三：<br>1. 勇士征戰（出草）凱旋歸來時<br>2. 重建或修建會所時<br>3. 成年禮及男子週歲獻禮後<br>意義：是要勉勵鄒族人用自己全部的精神和生命來保護整個部落，並祈求戰神降臨保佑他們 |<br>| **拉阿魯哇族** | 聖貝祭 | 視「聖貝」為太祖（貝神）居住之所，每年舉行大祭典以求平安。每兩年舉行一次，於國曆元月1日至15日之間舉行。其中以「聖貝薦酒」儀式最為重要：將聖貝浸在酒裡，察其顏色變化，如果變成紅色，便代表祭典圓滿成功 |<br>| **卡那卡那富族** | 米貢祭 | 相傳地神曾拿餅款待族人，並給予大豆、樹豆等種子，成為族人的主要食物，故往後豐收後都會舉辦祭典，以表達對天、地神的感謝 |<br>| **排灣族** | 百步蛇信仰<br>五年祭 | 相傳排灣族的先祖是百步蛇卵孵出來的，所以百步蛇是「祖靈」的象徵。百步蛇所生為頭目祖先，龜殼花所生為平民，頭目與平民禁婚<br>藉由族人手持竹竿聚集在刺球場的方式，召喚神祇和祖靈歸來，並祈求祖靈所賜的祝福，能透過刺球活動降臨到自己和家人身上 |<br>| **達悟族** | 飛魚祭 | 約從2月下旬到10月舉行大船初漁祭、小船初漁祭、飛魚收藏季、飛魚終食祭等，統稱為飛魚祭 |<br>| **撒奇萊雅族** | 巴拉瑪火神祭 | 是對祖先的追思祭典，祭典中共有七道法禮，儀式中祝禱司為族人以酒沫蕉葉表示護身，而族人持火把巡禮繞圈。祈福儀式後，舉行火葬儀式燃燒火神太花棺，祈求火神的靈魂能與族人一起浴火重生 |<br>| **卑南族** | 少年猴祭 | 參加猴祭的主要成員，以13至18歲的男孩們為主，祭典前先進行馬拉松賽跑，鍛練體力，然後在長老指導下，以長矛刺死關在祭壇上的猴子，藉此訓練孩童膽識和狩獵技術 |<br><br>【改寫自：阮昌銳編著，《臺灣的原住民》（臺北：臺灣省立博物館，1996），pp.61～63。達西屋拉彎·畢馬（田哲益），《臺灣布農族的生命祭儀》（臺北：臺原，1992），pp.68～71。文化部國家文化資料庫，http://nrch.cca.gov.tw/twpedia.php?id=11096。拉阿魯哇族，臺灣原住民族委員會，https://reurl.cc/mY8R9。卡那卡那富族，臺灣原住民族委員會，https://reurl.cc/NxvNp。慧炬雜誌社，〈臺灣原住民與蛇〉《慧炬雜誌》580期（2013.2），pp.14～15。林建成，《後山原住民之歌》（臺北：玉山社，1996），pp.108～109。臺灣原住民族資訊資源網，https://reurl.cc/8nKbKX。林建成，《後山原住民之歌》（臺北：玉山社，1996），pp.40～41。】,teachers_book,原住民,文化,"[矮靈祭, 射耳祭, 戰祭, 五年祭, 飛魚祭]",V.1/Ch.1/臺灣的原住民族,原住民族文化祭儀,,,
19,阿立祖，是西拉雅族的祖靈與守護神，多以「祀壺」、「豬頭殼」、「將軍柱」等為象徵物，壺甕等容器內裝水，是祖靈洗淨休憩之所，所以沒有塑像與神位；但受到漢人影響，也出現變化，像屏東地區平埔族所祭祀的「老祖」，就約有三分之一改成神像。<br><br>【引用自：李亦園，〈臺灣平埔族的祖靈祭〉《中國民族學報》第1期（臺北：中國民族學會，1955），pp.125～137】,teachers_book,原住民,文化,"[阿立祖, 西拉雅族, 祖靈, 祀壺, 漢人影響]",V.1/Ch.1/臺灣的原住民族,阿立祖,,,
20,| 夜祭 | 是西拉雅族的傳統信仰祭典，又分為「夜祭正典」與「哮海祭」兩部分 |<br>| :--- | :--- |<br>| **夜祭正典** | 祭祀守護神阿立祖，每年農曆9月4日晚上，進行敬酒禮與請神，過火淨豬，將豬隻獻給阿立祖。最後尪姨與祭司帶領小女孩們展開「牽曲」，手交叉圍成圈，邊唱邊跳儀式歌謠 |<br>| **哮海祭** | 是祭祀渡海來臺的祖先與「海祖」，夜祭隔日午後，在大公廨西南方的稻海間，地上鋪了香蕉葉，上置祀壺與檳榔，象徵祖先渡海的情景，「哮海祭」結束前，尪姨會奔到前方，面向西南揮舞著象徵權威的尪祖拐，隨後倒地翻滾嚎啕著訓誡子弟，不可忘記先人恩德 |<br><br>【改寫自：劉還月，《尋訪臺灣平埔族》（臺北：常民文化，1997），pp.41～75。臺灣宗教文化資產，https://www.taiwangods.com/html/cultural/3_0011.aspx?i=49】,teachers_book,原住民,文化,"[吉貝耍, 夜祭, 西拉雅族, 阿立祖, 哮海祭]",V.1/Ch.1/臺灣的原住民族,吉貝耍夜祭,,,
